Index,FileName,ImgLink,Brand,brandLink,Class,imgText
40,AdultwearPLPArtboard1copy_1296x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FAdultwearPLPArtboard1copy_1296x.webp?v=1637352002044,Petit Pli,https://shop.petitpli.com/,"reducedWaste, circularDesign, shirt, petitpli, petitPli, PetitPli, circulardesign, reducedwaste",A Petit Pli shirt with the brand's signature body-conforming pleated fabric.
41,white_8_1800x1800_30a38775-f2ee-41a5-af32-84479b62c8ac_1400x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2Fwhite_8_1800x1800_30a38775-f2ee-41a5-af32-84479b62c8ac_1400x.webp?v=1637344627922,Gerbase,https://gerbase.com/blogs/news/social-environmental-responsibility,"lightweight, recycled, skirt, Gerbase, gerbase",Take a look at Gerbase's signature layering dresses  in action!
42,white_19_1800x1800_c188900a-c8c5-49cc-a942-b55109a9909a_1400x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2Fwhite_19_1800x1800_c188900a-c8c5-49cc-a942-b55109a9909a_1400x.webp?v=1637344631502,Gerbase,https://gerbase.com/blogs/news/social-environmental-responsibility,"lightweight, recycled, skirt, Gerbase, gerbase",Take a look at Gerbase's signature layering dresses  in action!
43,mix_4_1800x1800_3b28bbda-2117-4c60-8a5f-6f4e549ba5fb_1400x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2Fmix_4_1800x1800_3b28bbda-2117-4c60-8a5f-6f4e549ba5fb_1400x.webp?v=1637344606723,Gerbase,https://gerbase.com/blogs/news/social-environmental-responsibility,"lightweight, recycled, dress, Gerbase, gerbase",Take a look at Gerbase's signature layering dresses  in action!
44,mix_11_1800x1800_386d5b01-0dd1-423b-891d-7ca33031a2b7_1400x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2Fmix_11_1800x1800_386d5b01-0dd1-423b-891d-7ca33031a2b7_1400x.webp?v=1637344623481,Gerbase,https://gerbase.com/blogs/news/social-environmental-responsibility,"lightweight, recycled, skirt, Gerbase, gerbase",Take a look at Gerbase's signature layering dresses  in action!
45,mix_8_1800x1800_2e256811-c514-4a15-98e6-b18d67db8647_1400x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2Fmix_8_1800x1800_2e256811-c514-4a15-98e6-b18d67db8647_1400x.webp?v=1637344614339,Gerbase,https://gerbase.com/blogs/news/social-environmental-responsibility,"lightweight, recycled, dress, Gerbase, gerbase",A closeup of Gerbase's signature layering dresses
46,Midi_Navy_1400x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FMidi_Navy_1400x.webp?v=1637344602828,Gerbase,https://gerbase.com/blogs/news/social-environmental-responsibility,"lightweight, recycled, dress, Gerbase, gerbase",Take a look at Gerbase's signature layering dresses in navy
47,mix_10_1800x1800_562e7b46-9155-48b7-b0da-a0d45bbf9d10_1400x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2Fmix_10_1800x1800_562e7b46-9155-48b7-b0da-a0d45bbf9d10_1400x.webp?v=1637344619794,Gerbase,https://gerbase.com/blogs/news/social-environmental-responsibility,"lightweight, recycled, skirt, Gerbase, gerbase",A closeup of Gerbase's signature layering dresses
48,mix_6_1800x1800_d72b8db2-5c9b-4358-8082-044d94efd1ae_1400x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2Fmix_6_1800x1800_d72b8db2-5c9b-4358-8082-044d94efd1ae_1400x.webp?v=1637344610675,Gerbase,https://gerbase.com/blogs/news/social-environmental-responsibility,"lightweight, recycled, dress, Gerbase, gerbase",A closeup of Gerbase's signature layering dresses
49,flora_burgundy_5f6d1813-cdd7-4c82-b1e4-e0030ad077bd_1400x.webp,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2Fflora_burgundy_5f6d1813-cdd7-4c82-b1e4-e0030ad077bd_1400x.webp?v=1637344594918,Gerbase,https://gerbase.com/blogs/news/social-environmental-responsibility,"lightweight, recycled, dress, Gerbase, gerbase",Take a look at Gerbase's signature layering dresses in burgundy
